class,tweet
1,"""Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol"
0,"""bitch fuck u http://t.co/pXmGA68NC1"" maybe you'll get better. Just http://t.co/TPreVwfq0S"
0,"""Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?"
1,"""Why the eggplant emoji doe?""y he say she looked like scream lmao"
0,"""Hennessey Venom GT ; http://t.co/i8eGMnKaJ9"" that's one sexy bitch"
0,"""Him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!"
0,"""#Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit"""
0,"""Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http://t.co/VBCzP6HMT7""
@AmJemieBenn"
1,"""baby monkey bathtime http://t.co/7KPWAdLF0R""
Awwwwe! This is soooo ADORABLE!"
0,""";;;; I ain't shit ."" Damn Skippy lol"
0,"""u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b &gt;30%chance"
0,"""http://t.co/LuUBGL9Y5u"" 0 rings 0 mvps 0 bitches lol"
0,"""ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !"""
0,"""The facts on tattoos...tattoo http://t.co/ZwnbhpDZ8e"" he's a pussy with not tattooing them nipples"
0,""";;; Bitches be wanting to act like niggas so bad ;;; that shit aint cuteeeee"" but niggas act like bitches.."
0,"""Get worshiping bitch! http://t.co/R37CejCjou"" woof woof"
0,"""Wow. I'm lost. Are those buttcheek piercings? http://t.co/yn6guyOUQ6"" yeah she's a hoe"
0,"""Ok, sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her"
0,"""queer"" gaywad"
0,"""faggot read my tweets after dat k"" it wasn't even funny lol"
0,"""This bitch was so ungrateful http://t.co/06e77bGwbx"" fr ..... LULWHORE"
0,"""I been kidnapped yo bitch"""
0,"""alsarabsss"" hes a beaner smh you can tell hes a mexican"
0,"""happy birthday nigs"" Thanks yo"
0,"""when ur teacher tells u that u have homework https://t.co/RKk5vawIj1"" this bitch need to go!!!"
0,"""""that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.. http://t.co/OSIpBKPr9h"
0,"""What would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?"""
0,"""Leafs better win this damn game so I can go riot and shit #EarlyChristmas"" you better start looting my nig"
0,"""Going back to school sucks more dick than the hoes who attend it."""
0,"""On my way to fuck yo bitch http://t.co/j906T5zE2R"" me as a 9 year old"
0,"""how come you never bring me food"" i dont have a car retard"
0,"""If Richnow doesn't show up with hella tinder hoes Im not his friend anymore"" chill I brought like like 8 prople"
0,"""How bout them Cowboys!!!!"" Shutup pussy"
0,"""LMAOOOOOOOOOOO this nigga http://t.co/AAnpSUjmYI"" &lt;bitch want likes for some depressing shit..foh"
0,"""girl you know I was spitting that G shit to you &amp; you was going lbvs""bitch plz"
0,"""Let me make a couple tweets off cuzzo page, so I won't get in twitter jail.""lmao bitch don't trick me again"
0,"""Harlem shake is just an excuse to go full retard for 30 seconds."""
0,"""amen miley ; http://t.co/P2Kb2tfyxr""okay, but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh"
0,"""having one loyal female is wayyyyy better than having hoes , idc ;"""
0,"""Pussy licking pussy.... meow meow #StopWhitePeople2014 ; https://t.co/KeegDCjS5K;""""""""

;"
0,"""Check out our 12th man. #CowboysNation"" even with all those faggot ny fans in the stands"
0,"""What happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch"
0,"""im the bitch okay nudes pat ;;;"" wow"
0,"""you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway http://t.co/xUCcwoetmn"
0,"""The fuck be wrong with these bitches?"" Nobody knows"
0,"""Yall shut up:p"" make me bitch"
0,"""I hate a ""I'm pregnant"" type of bitch."""
0,"""Got bitches in the DM but I don't ever read'em"" which is y your top 3"
1,"""Baseball season for the win. #Yankees"" This is where the love started"
0,"""Little stupid as bitch I don't fuck with yoooooouuuu.."""
0,"""she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" LOL"
1,"""I'm an early bird and I'm a night owl, so I'm wise and have worms."""
1,"""Overdosing on heavy drugs doesn't sound bad tonight."" I do that pussy shit every day."
1,"""Pit Bulls Photographed As Lovely Fairy Tale Creatures http://t.co/Q0Sm89oOLh;

They *are* fairy tale creatures."
0,"""Aw."" ...fag, don't tweet ""aw"" to me lol"
1,"""As long as the Lakers trash from now on, I could careless. And that's real."". CC: hahaha"
0,"""I didn't say anything tho"" kiss me then faggot"
1,"""this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/ZUai7qWBIR"" ; yup"
0,"""I could go for a fat ass bitch on my lap"" same"
0,"""17 missed calls!!!! ;;""Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle"
0,"""Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao ;;;;"
0,""";3 | Amo los pies http://t.co/4QE1hDkK8i;"" fuck yeah"
0,"""These hoes be thinking Meat won't slap they ass ;;"" ainna bruh"
0,"""Yall bitches wit no edges be doing the most talking ;;;"";;;"
0,"""Yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit"
0,"""I wanna have sex with my mom fuck her right in that pussy where I came from"" damn you got hacked like fuck"
0,"""If she kiss u with her eyes open watch that bitch!""lmfao"
0,"""You a woulda coulda shoulda ass hoe ;;"""
0,"""Happy Bday Bitch Ass Nigga that bitch roll up!"
0,"""used to send that bitch up"""
0,"""Ugly bitches be like I'm my own WCW duh bitch you ain't nobody elses;;"""
0,"""nigga you know we hacky sack hoes."" ...nah, I throw no look passes lmao"
0,"""Glad I'm getting outta Atlanta. Nothing but a bunch of niggas in &amp; outta jail &amp; dumb bitches with mad kids fuckin em."""
1,"""This isn't ghetto.....it's smart https://t.co/MPAzQ3Jswf"" I'm doing this idc"
0,"""I would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?"
0,"""Being single isn't an excuse to be a hoe."" @TheOneMiss_Luu"
0,"""White boy power bitch"" black power bitch"
0,"""Lets get drunk, get blowed, spit shit spark blunts &amp; fuck hoes!"" Bro white dudes have no chill."
0,"""bitch where u been"" Around the world and back. Where you been?"
0,"""if I don't get my dick sucked at yo party by a bad bitch I'm fr gone set it off ;;;;"" *by *"
0,"""#oomf is soooo cute. But he probably has hoes on him a lot."""
0,"""In every cartoon theirs alway a saving these hoes lmao. http://t.co/9uKD8wtZ6x"" lmao damn captain SaveAHoe"
1,"""Who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking http://t.co/FeQxgN0W6I"" hot sox and legs"
0,"""I wish I was a bitch like my brother keezy ;"" ooooow I bet you do"
0,"""If you dressed up as a cat for Halloween you are basic."" ...or a pussy"
0,"""Can pornhub just get a gaming stream feature so these dumb bitches can gtfo"" get on it Katie&lt;3"
0,"""stop being scared to choke her during sex u bitch ass niggas. She;ll like it."". Says the guy who hits women out of bed. FOH"
0,"""ha well iguess I make them hoes loyal bro"" theyll never be loyal that y they hoes my nig"
0,"""Oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" #fixed"
0,"""You're not a man if you refer to every girl as a bitch"""
0,"""Lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?!? MY NIGGA!!!"
1,"""Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line"" ooooow who tf said that trash!!?"
0,"""io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha"
0,"""naw it's my old tape. new cover . my upcoming mixtape is #KingOfTheHill"" Yeah I'm waiting on that hoe Mayne!"
0,"""Ol dirty foot ass bitches.."" this was too funny to me."
0,"""that's where I get my yellow flags for being amazing ;;"" HELL YEAH NIGGY"
0,"""Don't got time for bitches to be actin iffy."""
1,"""#UCFPINKPARTY come on stay alive knights nation!!!!"" This is still the early bird special. #ComeAtMeUT"
0,"""These hoes ain't loyal ; no they ain't http://t.co/h1UBsVbkGl""

Smfh &amp; wonder why nobody decent wants them"
0,"""Bruh, you studs keep thinking I'm soft as hell. Ask ya girl how many times she screamed she was my bitch. Oh okay. STFU."" BYE HOE!"
0,"""dry pussy bitches always blame it on the condom;"";;;;"
0,"""shut yo bitch ass up! https://t.co/IemN1u0gm5"" ;;"
0,"""Gucci Mane in jail and dropping mixtapes every month and you hoes can't even text back"""
0,"""You love these hoes more then money wats wrong these niggas"""
0,"""A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwo."" ...sounding like me over there lol"
0,"""Easy cum, easy hoe"" That's a fact !"
0,"""Charlie Sheen is too real http://t.co/gGGdK3kOV7"" major fucking respect for Charlie Sheen."
0,"""Wish I had a bae ;""

You got all the hoes tho"
0,"""Fuck twerking bitch can you cook ?"""
0,"""bitch wtf"" http://t.co/DaSmycxODB"
0,""";""Shut up zoe"" fight me pussy; for zoe? I'm good, man."" You are good ma'am. Move along now"
0,"""Lmao fucking snake bitches"" em"
0,"""Big booty hoes everywhere sheesh ;"" damn ;;;"
1,"""Stay tuned to for an update on the report that 1B will be out 8-10 weeks"" #bum"
1,""";""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/tYCIhD6PkW; yes lmfao""@soccerboy_04"
0,"""Oregon chokes every year get off the field trash ass program"" RFT"
0,"""Def not cowboy lol Terrell Owens was the best Eagle &amp; Cowboy ever"" ..dude cried like a bitch on tv, over Romo"
0,"""LMFAOOOO I HATE BLACK PEOPLE https://t.co/RNvD2nLCDR"" This is why there's black people and niggers"
0,"""How could u do this to me bitch"" potent"
1,"""http://t.co/3Jk4kR44X3"" a pissed lad past out. I would lick his dirty soles while he slept."
1,"""http://t.co/PrrskknqRv"" love frat boy w/ soft long soles"
1,"""http://t.co/XpSC3makgJ"" sexy lad with hot soles and arches."
0,"""nah fam I gotta cheat with the hoes"" depends on the female i feel"
1,""";;;;;"" I got hicks lol"
0,"""This new twitter is confusing the shit out of me."" Go back to south america bitch"
0,"""Toto means ass or vagina?""I think pussy cause toto santi is like nasty pussy"
0,"""but what if he actually does choose the ugly bitch over you? ;""Her ass must be fat!"
0,"""bitch couldn't kill my vibe if ya tried. ;;;"" dis why i love miley :*"
0,"""I'm tired of bitches saying I look mean.. ;"" nigga you big af, wear tight shirts, and grim everybody."
1,"""10 birds your grandkids may never see, thanks to climate change http://t.co/XqmXHkAsWt http://t.co/RbITeGRnhm"" #Climate"
0,"""""Stay beautiful you bitch"""""
0,"""#WutKinda

r purple. Ceeeleee""man this gurl was jus playin on the ""stupid hoe "" track. But in still shitted on sum gurls"
0,"""Money getting taller and bitches getting blurry"""
0,"""I ain't never seen a bitch so obsessed with they nigga;"" I'm obsessed with mine ;"
0,"""Kobe stay talking trash. But let's not forget http://t.co/VH4tnEkvTP"" I meant to do this one. Smh."
0,"""""At least I'm not a nigger"" http://t.co/RGJa7CfoiT""

Lmfao"
0,"""People always asking me what I'm mixed with."" She a bad asian bitch lol"
0,"""Ariza is a snake and a coward"" but at least he isn't a cripple like your hero Roach lmaoo"
1,""";Fosters home for imaginary trash; WHOA CHILL""

that show was everything tf"
0,"""I am lowkey tired."" ...if you tired, be quiet and go to sleep hoe!"
0,""";Stop bringing weird niggers into my mentions! http://t.co/cussDJesRK"""
0,"""We don't love these hoes ;;"""
0,"""If yo girl cant have homeboys you a ol weak bitch ass nigga!"""
0,"""I think worst advice I gave you was "" don't be a pussy and speed up"" lol"""
0,"""Quote this tweet with your favorite animal.""pussy"
0,"""I hate when strippers tell you they're ""dancers"". Hoe, ballet dancers don't pop their pussy to Beethoven. You a STRIPPER!"""
0,"""Andrewbryant: Poff has double vision after 2 beers
Poff: ... Double pussy ;"" smh"
0,"""When bitches TWERK on the computer....

ME: ""In ya ;, in ya damn ;;;"""""
0,""";;Prince, THIS is art. http://t.co/EPHRWxMBHr; nobody takin his bitch!"
1,"""61% of welfare/government aid is claimed by white people. So y'all black slander is trash now."""
0,"""These bitches don't care they just play that role."""
0,"""It took a while for you to find me, but I was hiding In the lime tree.""
dis bitch in da wrong tree bro."
0,"""Drakes new shoes that will be released by Nike/Jordan.... Yes, there's glitter on the shoes http://t.co/QCtPLxHEXM"" ....dudes a fag"
1,"""inna di ghetto!!!"" You alone lmaoo"
1,""";hoes Austin; teach us Austin.""I teach u how to get curved? That's all I know"
0,"""bitches can't cook but know how to suck dick .."" s/o to the ones that can do both!"
0,"""Fat hoes get chose"" lol"
0,"""#hoesaintloyal"" well they're hoes,no one expects them to be loyal"
0,"""ol bitch ass"" http://t.co/AmcOinY0wG"
0,"""Bruh im tired of niggas retweetin Miley Cyrus naked that bitch aint no types of bad"" lmaooo"
0,"""Just because tony romo at the mavs game dont mean he still not a bitch lmao.. Fuk them cowgirls"" lol bitch fuck you"
0,""": Holy shit, Freddie Highmore was in Charlie and the Chocolate Factory""
Me: *rolls on the floor, laughing*"
0,"""""I don't want to have sex with my gf because I feel like I'm using her.."" - anonymous"" Whata faggot"
0,"""One of your followers with this ;; http://t.co/F1TJl9xnCT"" somebody, bitch if you don't"
0,"""If ya bitch always bitching clearly she care!"" Or just an annoying Bitch!"
0,"""These catfish hoes thinkin they slick.. But niggas catching on ;"""
0,"""Can't worry about a bitch that ain't worried bout me"" #real"
0,"""Side hoes are for insecure niggas that can't handle a real one."""
0,""";;;;Lmao! This bitch come scooting in the tent like she about to fuck some shit up!"" ;;;"
0,"""My cousin said he share hoes with his brothers. He said sharing is caring and he love his brothers ;"""
0,"""i'm hungry but ionn wanna spend my money on food;""Broke hoe problems ;;;;"
0,"""Dese hoes be LYIN to all of us nigga"""
0,"""http://t.co/4b427dQZCV"" oh yeah fuck that bitch"
1,"""Eli Manning just threw his NFL-leading 27th interception of the season."" Lmao trash"
1,"""USC senior RB Anthony Brown calls head coach Steve Sarkisian a racist and quits team. ; http://t.co/JOOsdSubIR"" he's a bitch"
0,"""Guess what? I also have zero time for your mansplaining! Adios!"" Stfu pussy"
1,"""Chilling ;; http://t.co/mik3iPNle6"" sexy scally lad"
0,"""I ain't sharing no bitch if you mines you mines ;"""
0,"""money only impress the simple broke bitches"""
0,"""#Pisces will never be anybody's bitch, they don't let people control or change them."" Rigghhht"
1,"""tuku ho idk blah blah blah"" ;;;"
1,"""I'm not mad cuh hahaha"" suure.. tuku ho ita! ;;"
0,"""These hoes is crazy"""
0,"""You ain't ever gonna be a slice bitch."" Kevin hart. (:"
0,"""Oomf so fuckin fine tho ; dam"" her, don't be no bitch."
0,"""I wonder if the girl that gave head to 24 boys for a drink in magaluf has twitter"" she probly sends nudes for fags"
0,"""#NewSATQuestions
Yeah bitch, yeah bitch, call me _______:
a.) Maybe
b.) Steve-O
c.) Later
d.) Jesse Pinkman""
@machinegunkelly"
0,"""Hickies in between her thighs right by her pussy &gt;&gt;&gt;"" Its only right"
0,"""Would you still love me when I'm no longer young and beautiful?"" No. Ugly monkey ass."
0,"""y'all come through the front.""bitch I ain't coming"
0,"""faggot bitch"" http://t.co/2HyyAbk4eH"
0,"""yea, I'm on my iPad. I don't work this Friday. Let's ball this faggot up work 2-5"
1,"""http://t.co/BYj1HOyhmG"" this scally lad would get it"
0,"""#GerrysHalloweenParty http://t.co/3ycrSrnjHc"" Halloween was yesterday stupid nigger"
0,"""Chrus still supahot tho"" *walks up to teacher with test, drops test in that bitch fohead* http://t.co/nb5VgdssgI"
0,""";I love eating pussy lol I never get full lol; I can eat that shit forever lol"" and ever."
0,""";"";No slushes ;;hoes nasty anyway fam"";;them hoes taste like meds"";;;"
0,""";No slushes ;;hoes nasty anyway fam"";"
0,"""BOBBY BITCH-by be getting me live as fuck"" hell yea i play that hoe before my workout"
0,"""Yo bitch is Gucci Mane : My bitch a stoner ;; http://t.co/lt9LIJjpg9"";;;;;;"
0,"""I can ride your bitch with no handle bars"""
0,"""And if you ain't a hoe get up out my traphoussseeeee"""
1,"""15 sad TV character deaths we're still bitter over... http://t.co/uLclFUF8nC http://t.co/1RXYQOOsM0""ned stark was the man"
0,"""These harbor bitches are all ""Party Bus hoes"""" Lol all?"
0,"""pussy"" love it"
0,"""Ultraviolence video, its coming you little bitch! #MTVHottest Lana Del Rey http://t.co/533fLbvWqh"" 

bitchy promo"
0,"""On my way to fuck your bitch https://t.co/4lMTFNL2iy""

LMFAO KITTYCOPTER"
1,"""A smuggler explains how he helped fighters along the ""Jihadi Highway"": http://t.co/UX4anxeAwd"""
0,"""""Aww their avis look so cute together ; http://t.co/9lPorCb8w0"" ;;;"" do I gotta get Ike avi on this bitch ?"
0,"""""Its simple, dont be a hoe=dont worry about being exposed ;"" fight me""why ?"
0,"""whys this bitch boosting herself http://t.co/uOd2f5WtKV""

Her size isn't exactly the most healthy tho"
0,"""bet not be no bitches! ;;;;;"" ;; Kim bye!!!"
0,"""Damn near gotta protect my tweets.. stalkers being annoying"" you got that dope dick. Drive these bitches loco"
0,"""I'm making marack my girlfriend ."" aye b you pullin hoes just like o taught you"
0,"""Bruno fag boy"" you love me."
0,""";I must be a bitch; you are ;;; sike naw"" This why we always beefing ;"
1,"""Down 6-1, #Yankees look to rally in the bottom of the 9th."" #RALLYCAP"
0,""";Don't take advantage of a nice person;hoes""everyjuan"
0,"""Happy birthday bitch nigga Thanks pal"
0,"""Sad knowing that most hoes won't fuck with you bc you ain't got stacks."" wait till friday"
0,"""cinco shit harder fucc nigga""yee but you fucc wit rich homie cuz dats ya homeboy fucc nicca"
0,"""ewww I said THAT last Sunday..as in the last Sunday I was there. Read it again nigs"";;;;;"
0,"""I only punch real niggas in the face cause a pussy Nigga is gonna punch me right back"" Strong Mush or Shake.."
0,"""My pussy still fresh"" &lt;----- something stank girls say."
0,"""Ass slapping is one the greatest things. Haha. ;"" I slapped a girl on the ass. . She got mad I aint get pussy for a week"
0,"""yeah Texans are so much better you fucking retard"" I see that you're mad about this."
0,"""Nd wtf is up with dark bitches with blonde.. PLEASE HAVE SEVERAL SEATS HOE!"" ..looking like black&amp;milds out here"
0,"""There's a lane some bitches need to stay in ;"" the left n get right the fuck outta our face ;;;"
0,"""I hate when boys deny that they have bitches ;;"" smh"
0,"""Ya nigs out there still saying y'all don't eat butt?!"" WITH A STRAIGHT FACE!"
0,"""Im a boss ass bitch"" ...that needs to sit in a corner"
0,"""He's a hoe , I can't"""
0,"""Me And Paul Thinkin Bout Gettin Rentals For Da Weekend ;;;""oooh shit bitches betta stay out da streets"
0,"""bitches hold they nigga down when he get locked up... but if a nigga go to college or the military it's a different story. ;"""
0,"""why do my friends hate me"" because you a ratchet hoe.."
0,"""No love for these fuck niggas"" hoes*"
0,"""Hot meat http://t.co/BRz8Imk5vK"" sexy as fuck scally lad. I would love to meet him and his trainers."
0,"""Sniff http://t.co/FHHbBRMYBN"" perved up scally lad. fuck yeah."
0,"""These bitches love Sosa"""
0,""";I legit watched it for about 30 or 40 seconds ;;SO DID I WTF"" prob cause were retarded smh"
0,"""What should I name my cat, ideas?"" Mr pussy"
0,"""http://t.co/tM28mh5XG2"" woof woof. Sexy thug boy scally."
0,"""u see the damn phone ringing? ;;;"" when you married bitches makes demands!!!! You haven't called me"
0,"""Tevin is my favorite sophomore I think he's so funny"" Hes really not. Lmaoo hes a little hoe"
0,"""10 sex positions http://t.co/nt3PABMWsm http://t.co/JmHZ8Sczf0""naw this what u call fucking the soul outta bitch ;"
0,"""is bored supposed to be cute, you faggot?"" Sometimes"
1,"""One mans trash ; is another mans treasure ;"""
0,"""I don't got no type. Bad bitches is the only thing I like"" *Iongotnotype"
0,"""lassen cc , the coach wants me"" i feel it youll get more my nig no doubt"
0,"""god teeth , gold chain
white bitches , cocaine"""
0,"""Its me hoe, its me hoe;"" shhhhh"
0,"""In D.C., we call them rollers, in Chiraq we call them thots."" All across America they have been known as a hoe."
0,"""I'm gonna miss that bitch of a bus driver...""no you won't. Don't lie"
0,"""hate when bitches try and put you in the friendzone. bitch I'm tryin to score put me in the endzone ;;;"" ON. MY. SOUL!"
1,"""Ashley Young has tried to deny that bird s*** landed in his mouth ---&gt; http://t.co/mlr5eWgonK https://t.co/AvCHFj7reM"" hahaha"
0,"""yall both gimped up??"" Ain't tht a bitch huh lol"
1,"""""Take me for a ride ;; http://t.co/H5mAtjYfGA""#redneck"" woof woof"
0,"""oh my god I love Victoria Mitchell"" all my bitches love me"
0,"""That long distance shit wack I knew the bitch was cheating""- uh oh"
0,"""HE'S DOING IT RIGHT ;;; http://t.co/JZKkiVUVjC"" no bitches smh"
0,"""they BAN dat pussy for life &amp; he gotta pay 2.5 millon dollar fine"""
0,"""Roses are red and violets are blue and niggers are black, you know that's true."" @dylan72892"
1,"""Sitting on my window sill, window open, bird tries to fly in. Smacked it. #ProtectTheAnimals"" @peta"
0,"""But a nigga gon be a nigga, be a nigga."" You sound fuckin retarded"
1,"""a video an entire media will likely mock. http://t.co/XFr1cRXWSm"" i am such a crybaby"
0,"""I'm not even shy stfu"" kikis mom: Hi angelique 
Angelique: Smiles *Dips cracker in soup*"
0,"""Tim Tebow got cut from every team he was on in the NFL and he already got more hoes than me in Starkville. Smh."" ;;;;"
0,"""Karma is a bitch #Damn #GodProtectsHisAngels ;""

*sips tea*"
0,"""Fuckin hot gym pussy http://t.co/ZVYmcXQuTA"" fuck yeah"
1,"""Jihadi patron Hajjaj al-Ajmi is arrested at Kuwait airport https://t.co/ZmloKfWDQl"""
0,"""You can call me Fireman cause I turn the hoes on."""
0,"""I could never have a bby by a lil dick Thts y I got a abortion by the last bitch""- oh My God"
0,"""Watch women try to argue with me like they have a dick and actually fucked some pussy before"" I hate when bitches do that"
0,"""And smoke weed in public, fuck cops man, do what you wanna do, they don't own you, run if they come"" are you retarded?"
1,"""tweety bird tho ;;;;https://t.co/JbnoNM3N1P"""
0,"""my pussy sweet like watermelon http://t.co/SKlPh3TtoG""

Thotermelon"
1,"""When twitter rappers dm me their trash links http://t.co/35nMR4AUQg"""
0,"""loud bitches annoy me"""
0,"""Eventually every bitch turns into that hoe."" # Truuu"
0,"""""""I swear if oomf try talking to me tomorrow.."" pussy"
0,"""You bitches be pretending to be TF crazy.."" You ain't never lied..."
0,"""k bye hoe"" um bye .."
0,"""Jackies a retard #blondeproblems"" At least I can make a grilled cheese!"
0,"""ima keep on giving these pussy ass niggas ah reason to hate !"""
1,"""Photo: http://t.co/CxRs5BVhPw"" he is in sole heaven"
0,"""Stacey Dash won ; http://t.co/PDLG46rjOL"" baddest bitch evaaaa"
0,"""Side bitch Sunday ;;;"" ;;;"
0,"""Facts what baldheaded bitch made this shit. ;;;; http://t.co/fDYojpT9Xg""

Lmao ;;"
0,"""Fuck wit us and then we tweakin hoe"" shmurda!"
1,"""We actin like it's the 7th day http://t.co/s9gMtEvpaT""
;spook"
0,"""I'll break that lil bitch neck and won't even feel sorry about it"" Savage"
0,"""This is so fucking hot!! #scally #sneakersex #sockfetish #sniff #trainersex http://t.co/TubivxbxcO"" love me some kinky scallies"
0,"""Y'all dumb ass niggas be so pressed to have hoes. Y'all weak as fuck as fuck"" ...weed over hoes, oreos too."
0,"""I can turn yo bitch into a eaterrrrrrrrr"""
0,"""I don't trust dese hoes Nikki told 51st where I stay at all my fans screen shot ASAP"" we finna come to Chiraq and shoot sumn"
0,""";Aye yall ima tryout for the bowling team frfr; tryouts passed tho"" no theres two more retard"
0,"""Now u got what u want bitch ! Enjoy it http://t.co/gLQzwtGMj9"" now this is a crazy party I would love to attend."
1,"""colored contacts in your eyes?
blinders on mine.
cause i can't see you at all."" Lmao"
0,"""Facts ""Only the dudes with hoes say they don't got hoes;"" @J_Austin12"
0,"""I'm rea start smacking bitches period !"" Bluffin at its best"
0,"""Lifes a bitch, and then you die 
Thats why we get high, cause you neva know when you're gonna go"" my sister is perfect (:"
